net,length_um
_0809_,10.06
_3437_,10.06
_4029_,10.06
_4081_,10.06
net335,10.06
_1165_,10.04
_1760_,10.04
_2674_,10.04
_3147_,10.04
_4101_,10.04
clknet_leaf_46_clk,10.04
_0178_,10.02
_1146_,10.02
net349,10.02
net398,10.02
_1161_,10.01
_3056_,10
_3748_,10
_1512_,9.995
_0064_,9.98
_0079_,9.98
_1706_,9.98
net109,9.98
net111,9.98
net190,9.98
_1107_,9.96
_1351_,9.96
_2442_,9.96
_2833_,9.96
_2932_,9.96
_1469_,9.94
_2046_,9.94
_4061_,9.94
net52,9.94
net53,9.94
net134,9.94
_3197_,9.92
carry2\[3\],9.92
net299,9.92
_0028_,9.9
_0662_,9.9
_1047_,9.9
_1461_,9.9
_2209_,9.9
_2385_,9.9
_1408_,9.88
net439,9.88
_1116_,9.86
_1325_,9.86
_1390_,9.86
_1872_,9.86
_3814_,9.86
_1094_,9.84
_2352_,9.84
_0009_,9.82
_1963_,9.82
_3171_,9.82
_3371_,9.82
_4171_,9.82
_4183_,9.82
_2828_,9.8
_0023_,9.78
_2630_,9.78
_2748_,9.78
_3607_,9.78
_3819_,9.78
carry1\[7\],9.78
_3553_,9.76
net361,9.76
_2089_,9.75
_2643_,9.74
net146,9.74
_1323_,9.72
_1359_,9.72
_2359_,9.72
_3460_,9.72
_0780_,9.7
_1187_,9.7
_2240_,9.7
_3424_,9.7
_3698_,9.7
_3217_,9.68
_3257_,9.66
_1788_,9.62
_2514_,9.62
_4111_,9.62
_0598_,9.6
_1923_,9.6
_2824_,9.6
net75,9.6
net78,9.6
_0769_,9.58
_1676_,9.58
_1755_,9.58
_3643_,9.58
_0026_,9.54
_0169_,9.54
_1802_,9.54
_1882_,9.52
_3356_,9.52
bit_sum0\[8\],9.52
sum4\[8\],9.52
_1261_,9.5
_1569_,9.5
_1875_,9.5
_0660_,9.48
_0999_,9.48
net274,9.48
sh5\[6\],9.46
_0002_,9.44
_1472_,9.44
net242,9.44
_0848_,9.42
_1197_,9.405
_3252_,9.4
_4210_,9.4
net160,9.4
_1560_,9.38
_2589_,9.38
_2851_,9.38
_2918_,9.38
_2935_,9.38
_3538_,9.38
_0938_,9.36
_1907_,9.36
_2280_,9.36
_2806_,9.36
_2837_,9.36
_4078_,9.36
net57,9.36
net378,9.36
net446,9.36
_2098_,9.34
_2992_,9.34
_2420_,9.32
_3589_,9.32
net25,9.32
net444,9.32
_1767_,9.3
_2232_,9.3
_3263_,9.3
net372,9.285
_3179_,9.28
_3523_,9.28
net302,9.28
_0948_,9.26
_3890_,9.24
_0426_,9.23
_1191_,9.23
_2056_,9.225
_1254_,9.22
_0905_,9.2
_2004_,9.2
_2387_,9.2
net135,9.2
net138,9.2
net124,9.18
_2244_,9.16
_1698_,9.155
_2885_,9.15
_0050_,9.14
_2552_,9.12
_2887_,9.12
_4027_,9.12
_0207_,9.11
_3563_,9.08
net390,9.08
_1660_,9.04
_1940_,9.04
_2494_,9.04
_2538_,9.04
_4185_,9.04
_0038_,9.02
_0039_,9.02
_1433_,9.02
_2259_,9.02
_2547_,9.02
_2755_,9.02
s5\[12\],9.02
net386,9.02
_0186_,9
_0824_,9
bit_sum1\[3\],9
_0645_,8.98
_0666_,8.98
_0839_,8.98
_3596_,8.98
_3680_,8.98
_4025_,8.98
bit_sum5\[5\],8.98
sum2\[9\],8.98
net392,8.98
_0681_,8.96
_1143_,8.96
_1477_,8.96
_2220_,8.96
_3914_,8.96
_1378_,8.94
_3077_,8.94
_3391_,8.94
_3255_,8.93
net371,8.92
_1886_,8.9
_2653_,8.9
_3385_,8.9
net360,8.9
net389,8.9
_0833_,8.86
_1006_,8.86
_1632_,8.86
_1793_,8.86
_2620_,8.86
_3548_,8.86
_3907_,8.86
_0918_,8.84
_2100_,8.84
_2860_,8.84
_4049_,8.84
_1938_,8.83
_3535_,8.82
_3653_,8.82
net400,8.82
_1493_,8.8
_2661_,8.8
_3172_,8.8
_3203_,8.8
carry1\[1\],8.8
_1012_,8.78
_1552_,8.78
_2467_,8.78
_2993_,8.78
_3478_,8.78
_3794_,8.78
_3832_,8.78
_2662_,8.74
_3600_,8.74
bit_sum4\[1\],8.74
_0000_,8.7
_0807_,8.7
_1703_,8.7
_2716_,8.7
_0076_,8.68
_0182_,8.68
net85,8.68
net236,8.68
net238,8.68
net445,8.68
_3865_,8.66
_1021_,8.62
_1130_,8.62
_2308_,8.62
_2397_,8.62
_3490_,8.62
_1952_,8.61
_1470_,8.6
_3854_,8.6
bit_sum0\[7\],8.6
net71,8.6
net101,8.6
_0534_,8.58
_0798_,8.56
_0971_,8.56
_2756_,8.56
_3351_,8.56
_3613_,8.56
_3895_,8.56
net406,8.56
_3614_,8.53
_3034_,8.52
_1819_,8.5
_3275_,8.5
_0792_,8.48
_1106_,8.48
_1213_,8.48
_1587_,8.48
_1751_,8.48
_1920_,8.48
_2778_,8.48
_3184_,8.48
_3225_,8.48
_3277_,8.48
_0983_,8.46
_2218_,8.46
_3473_,8.46
_3475_,8.46
_4195_,8.46
_1381_,8.44
_1415_,8.44
_1824_,8.44
_2236_,8.44
_2663_,8.44
_2745_,8.44
_3587_,8.44
net295,8.44
sh1\[2\],8.42
net317,8.42
_0008_,8.4
_1134_,8.4
_2306_,8.4
_3128_,8.38
_0108_,8.36
_0678_,8.36
_1140_,8.36
_1207_,8.36
_1865_,8.36
_2452_,8.36
_2561_,8.36
_2815_,8.36
_2047_,8.34
_2455_,8.34
net334,8.34
_0672_,8.32
_1356_,8.32
_2136_,8.32
_2295_,8.32
_2548_,8.32
sh7\[5\],8.32
net244,8.32
_2702_,8.3
_2543_,8.29
_1927_,8.28
_3597_,8.28
_3610_,8.28
_3902_,8.28
_1495_,8.26
_3857_,8.26
net130,8.26
net247,8.26
net436,8.26
_0860_,8.24
_2873_,8.24
_2903_,8.24
_3833_,8.24
net352,8.24
_2700_,8.22
net186,8.22
_3150_,8.215
_1208_,8.2
_1772_,8.2
_1362_,8.195
_0518_,8.19
_0149_,8.18
net5,8.18
_2707_,8.16
_3975_,8.16
net408,8.16
_0084_,8.14
_2029_,8.14
_3068_,8.14
bit_sum7\[1\],8.14
net187,8.14
net206,8.14
net219,8.14
net331,8.14
_0270_,8.12
_1289_,8.12
s4\[11\],8.12
net251,8.12
net273,8.12
_0024_,8.1
_0036_,8.1
_0654_,8.1
_0663_,8.1
_0709_,8.1
_0988_,8.1
_1810_,8.1
_2395_,8.1
_3726_,8.1
net226,8.1
_0013_,8.06
_1709_,8.06
_3366_,8.06
bit_sum1\[1\],8.06
final_sum\[6\],8.06
_2354_,8.04
net312,8.04
_1091_,8.02
_1581_,8.02
_2682_,8.02
_3149_,8.02
_3299_,8.02
net415,8.02
_0935_,8
_2496_,8
_2507_,8
_2651_,8
_0671_,7.98
_1034_,7.98
_1166_,7.98
_1215_,7.98
_1992_,7.98
_2241_,7.98
_2970_,7.98
_3758_,7.98
net197,7.98
net306,7.98
_2165_,7.96
_0965_,7.94
_1834_,7.94
net119,7.94
_4208_,7.92
_1031_,7.9
_1766_,7.9
_1964_,7.9
_2712_,7.9
_2963_,7.9
net199,7.9
_2991_,7.88
sum5\[9\],7.88
_3448_,7.875
_1777_,7.86
_2516_,7.86
net308,7.86
_3892_,7.84
net394,7.84
_0168_,7.82
_1873_,7.82
_3662_,7.82
_0080_,7.8
_0641_,7.8
_1162_,7.8
net411,7.8
_0159_,7.76
_0704_,7.76
net224,7.76
_0825_,7.755
_3444_,7.74
sum2\[8\],7.74
net79,7.72
net209,7.72
_0865_,7.7
_2990_,7.7
_3804_,7.7
net426,7.7
_0031_,7.68
_0113_,7.68
_0687_,7.68
_1391_,7.68
_2024_,7.68
_2096_,7.68
_2297_,7.68
_3282_,7.68
_3430_,7.68
_3837_,7.68
bit_sum6\[1\],7.68
carry5\[6\],7.68
sum4\[13\],7.68
net154,7.68
net179,7.68
net230,7.68
_2143_,7.66
_2985_,7.66
_3948_,7.66
_3562_,7.65
_0025_,7.64
_0027_,7.64
_0035_,7.64
_0044_,7.64
_0065_,7.64
_0177_,7.64
_0902_,7.64
_1088_,7.64
_1799_,7.64
_1843_,7.64
_2126_,7.64
_2718_,7.64
_2804_,7.64
_3677_,7.64
_4180_,7.64
sum4\[9\],7.64
net296,7.64
_1219_,7.62
_2291_,7.62
_1179_,7.6
_2965_,7.6
_3461_,7.6
_3573_,7.6
_3942_,7.6
_0674_,7.58
_1912_,7.58
_4030_,7.58
_2340_,7.56
_2952_,7.56
_3272_,7.56
_3357_,7.56
net66,7.56
net348,7.56
_1168_,7.54
_1194_,7.54
_2675_,7.52
_3379_,7.52
_3820_,7.52
_3868_,7.52
_1189_,7.46
_2553_,7.44
_2862_,7.44
net419,7.44
_2112_,7.42
_3493_,7.42
_1121_,7.4
_1820_,7.4
_3990_,7.4
net92,7.4
net122,7.4
_2078_,7.385
_3897_,7.38
net365,7.36
_1263_,7.35
_0164_,7.34
_3449_,7.34
net180,7.34
net329,7.34
_0535_,7.32
_1449_,7.32
_1593_,7.32
_2912_,7.32
_1951_,7.3
_3097_,7.3
net203,7.3
_1991_,7.28
_2916_,7.28
_3554_,7.28
_3964_,7.28
_1565_,7.24
_3918_,7.24
sum4\[2\],7.24
net433,7.24
_1397_,7.22
_1832_,7.22
_2372_,7.22
_3111_,7.22
_4209_,7.22
net107,7.22
_1382_,7.2
_2196_,7.2
_2370_,7.2
_1880_,7.19
_0054_,7.18
_1216_,7.18
_2769_,7.18
_2792_,7.18
_3381_,7.18
_3823_,7.18
bit_sum7\[4\],7.18
net86,7.18
net202,7.18
_3049_,7.16
_0238_,7.14
_0880_,7.14
_1270_,7.14
_1508_,7.14
_1612_,7.14
_0786_,7.12
_1284_,7.12
_3810_,7.12
_0010_,7.1
_0106_,7.1
_1111_,7.1
_1198_,7.1
_1840_,7.1
_1874_,7.1
_2366_,7.1
_2835_,7.1
_3212_,7.1
_3737_,7.1
_1658_,7.08
_2426_,7.08
_2526_,7.08
_0638_,7.06
_2005_,7.06
_2092_,7.06
_3408_,7.06
_3642_,7.06
_3659_,7.06
bit_sum7\[6\],7.06
s7\[15\],7.06
_3795_,7
_0782_,6.98
_1328_,6.98
_1427_,6.98
_2595_,6.98
_3784_,6.98
net208,6.98
_0652_,6.96
_3905_,6.96
_1358_,6.94
_2095_,6.94
_2317_,6.94
net60,6.94
net327,6.94
_0163_,6.905
bit_sum3\[6\],6.9
net140,6.9
_2619_,6.88
net229,6.88
net395,6.88
_1272_,6.86
_2160_,6.86
_2550_,6.86
bit_sum0\[6\],6.86
net391,6.86
_0086_,6.84
_2153_,6.82
_3066_,6.82
_3115_,6.82
_3353_,6.81
net429,6.8
_0158_,6.78
_1950_,6.78
_0077_,6.76
_0682_,6.76
_0714_,6.76
_1283_,6.76
_1773_,6.76
_3320_,6.76
_3541_,6.76
_4034_,6.76
bit_sum2\[6\],6.76
net120,6.76
_1763_,6.74
_2161_,6.74
_3753_,6.74
_0063_,6.72
_0670_,6.72
_0972_,6.72
_1517_,6.72
_1542_,6.72
_2036_,6.72
_2495_,6.72
_3901_,6.72
s1\[10\],6.72
s5\[11\],6.72
sum1\[2\],6.72
net354,6.72
_2725_,6.7
_0653_,6.66
_1401_,6.66
_1728_,6.66
_2752_,6.66
_3140_,6.66
_0794_,6.64
_1154_,6.64
_1188_,6.64
_1563_,6.64
_1809_,6.64
_2814_,6.64
_3154_,6.64
_3586_,6.64
_3842_,6.64
_3882_,6.64
_4065_,6.64
_4213_,6.64
_4214_,6.64
_2248_,6.635
_3005_,6.62
_0635_,6.6
_0895_,6.6
_0964_,6.6
_1042_,6.6
_1115_,6.6
_1342_,6.6
_2341_,6.6
_3109_,6.6
s6\[14\],6.6
sum5\[15\],6.6
net142,6.6
_0460_,6.57
_1803_,6.54
_2410_,6.54
_0490_,6.52
_1013_,6.52
_1613_,6.52
_3674_,6.52
_3694_,6.52
_3933_,6.52
_4057_,6.52
net214,6.52
net316,6.52
_3913_,6.51
_3279_,6.5
net350,6.5
_3358_,6.49
_0183_,6.48
_1202_,6.48
net77,6.445
_0165_,6.44
_0166_,6.44
sum4\[5\],6.44
net151,6.44
net152,6.44
net8,6.42
net163,6.42
net283,6.42
net294,6.42
_0122_,6.4
_0668_,6.4
_0713_,6.4
_1687_,6.4
_2222_,6.4
_2744_,6.4
_3829_,6.4
_1695_,6.38
net139,6.38
net170,6.38
net233,6.38
net368,6.38
net370,6.38
_0225_,6.37
_0430_,6.37
_1544_,6.36
_1572_,6.36
_1881_,6.36
_2655_,6.36
_2701_,6.36
_0048_,6.32
_0059_,6.32
_0121_,6.32
_1294_,6.32
_1785_,6.32
_3957_,6.32
_0791_,6.3
_1770_,6.3
_3075_,6.3
_3516_,6.3
_4173_,6.3
bit_sum0\[4\],6.3
bit_sum6\[7\],6.3
s5\[14\],6.3
net401,6.3
_0429_,6.28
_1029_,6.28
_1145_,6.28
_2042_,6.28
_3959_,6.28
_0811_,6.26
_1120_,6.26
_1895_,6.26
_3484_,6.26
_3904_,6.26
net216,6.26
_4109_,6.24
_4217_,6.24
bit_sum0\[9\],6.24
_3093_,6.205
_0699_,6.2
_1183_,6.2
_1233_,6.2
_1253_,6.2
_1540_,6.2
_2158_,6.2
_2647_,6.2
_2818_,6.2
_0679_,6.18
_0693_,6.18
_0717_,6.18
_1086_,6.18
_1250_,6.18
_1536_,6.18
_1849_,6.18
_1897_,6.18
_2293_,6.18
_2406_,6.18
_2421_,6.18
_2498_,6.18
_3452_,6.18
_3669_,6.18
_3696_,6.18
_3998_,6.18
net72,6.18
net246,6.18
_3619_,6.16
_4194_,6.16
net113,6.145
_1496_,6.14
_2142_,6.14
_4176_,6.14
_4198_,6.14
s0\[3\],6.14
_0779_,6.08
_0200_,6.06
_0204_,6.06
_0476_,6.06
_1204_,6.06
_1326_,6.06
_1419_,6.06
_1629_,6.06
_1666_,6.06
_2084_,6.06
_2204_,6.06
_2719_,6.06
_3127_,6.06
_3401_,6.06
_3836_,6.06
_4015_,6.06
_1203_,6.055
_1085_,6.02
_1635_,6.02
sum1\[11\],6.02
_1762_,5.98
net69,5.98
_0398_,5.96
_0478_,5.96
_1122_,5.96
_2059_,5.96
net81,5.96
net193,5.96
net211,5.96
net304,5.96
net343,5.96
net363,5.96
_1426_,5.94
_1474_,5.94
_2058_,5.94
_2185_,5.94
_2392_,5.94
_2634_,5.94
net277,5.94
_0943_,5.92
net24,5.92
net64,5.92
net198,5.92
net215,5.92
_0320_,5.91
_0348_,5.91
_0459_,5.91
_0254_,5.89
_0418_,5.89
_0975_,5.86
_1919_,5.86
_2348_,5.86
_2723_,5.86
_3078_,5.86
_3152_,5.86
_3590_,5.86
_0673_,5.84
_0741_,5.84
_1255_,5.84
_1393_,5.84
_1515_,5.84
_2093_,5.84
_2122_,5.84
_3290_,5.84
_3707_,5.84
bit_sum3\[0\],5.84
bit_sum7\[3\],5.84
sum5\[3\],5.84
sum5\[4\],5.84
_1394_,5.82
_1811_,5.82
_2261_,5.82
_2537_,5.82
_3625_,5.82
net47,5.82
_0014_,5.8
_0037_,5.8
_0174_,5.8
_0864_,5.8
_0914_,5.8
_1592_,5.8
_1967_,5.8
_3012_,5.8
_3254_,5.8
_3699_,5.8
_3992_,5.8
_4201_,5.8
bit_sum1\[0\],5.8
net94,5.8
net141,5.8
_0521_,5.79
_0016_,5.78
net451,5.78
_2234_,5.74
_2534_,5.74
_3506_,5.74
_0421_,5.72
_1076_,5.72
_1248_,5.72
_1685_,5.72
_1688_,5.72
_2320_,5.72
_2897_,5.72
_2900_,5.72
_3346_,5.72
_3569_,5.72
_4036_,5.72
_4199_,5.72
_4212_,5.72
net91,5.72
net298,5.72
_1156_,5.7
_2781_,5.69
_0719_,5.68
_0934_,5.68
_1300_,5.68
_1719_,5.68
_2181_,5.68
_2742_,5.68
_2891_,5.68
_3545_,5.68
_3697_,5.68
_3821_,5.68
_3841_,5.68
_3981_,5.68
net132,5.645
_1032_,5.62
_2621_,5.62
_2859_,5.62
_2869_,5.62
_3002_,5.62
_0364_,5.61
_0540_,5.61
_0942_,5.6
_1715_,5.6
_1904_,5.6
_2645_,5.6
_3143_,5.6
_3850_,5.6
net234,5.6
_2017_,5.58
_2088_,5.58
_2629_,5.58
_0012_,5.56
_0517_,5.56
_0532_,5.56
net90,5.56
_0381_,5.53
_3582_,5.52
net377,5.52
_3322_,5.5
_3387_,5.5
net115,5.5
_0475_,5.49
_0945_,5.48
_1027_,5.48
_3042_,5.48
_3081_,5.48
_3429_,5.48
net399,5.48
_0131_,5.46
_0560_,5.46
_0439_,5.45
_0564_,5.43
_1101_,5.42
_0867_,5.405
_0141_,5.4
_0788_,5.4
_0896_,5.4
_1155_,5.4
_1304_,5.4
_1846_,5.4
_3103_,5.4
_3851_,5.4
_0609_,5.39
_0611_,5.39
_0022_,5.38
_0070_,5.38
_0112_,5.38
_0639_,5.38
_1098_,5.38
_1224_,5.38
_1333_,5.38
_2566_,5.38
_3083_,5.38
_3893_,5.38
_4038_,5.38
_4120_,5.38
net65,5.38
net232,5.38
net278,5.38
net286,5.38
net356,5.38
_1647_,5.36
_2028_,5.36
_2881_,5.36
_3010_,5.36
_3421_,5.36
_3944_,5.36
_4037_,5.36
net259,5.36
_0017_,5.34
_0126_,5.34
_0680_,5.34
_0970_,5.34
_1038_,5.34
_1295_,5.34
_1370_,5.34
_1800_,5.34
_1877_,5.34
_2115_,5.34
_2715_,5.34
_3515_,5.34
_4110_,5.34
_4200_,5.34
s2\[11\],5.34
_0551_,5.33
_0562_,5.33
_0979_,5.28
_1007_,5.28
_1371_,5.28
_2070_,5.28
_3615_,5.28
_3731_,5.28
_0160_,5.26
_0933_,5.26
_1365_,5.26
_1424_,5.26
_1794_,5.26
_2002_,5.26
_2022_,5.26
_2858_,5.26
_3213_,5.26
_4008_,5.26
_4119_,5.26
_0388_,5.24
_0655_,5.22
_0744_,5.22
_0854_,5.22
_1054_,5.22
_2471_,5.22
_3716_,5.22
_4012_,5.22
_4019_,5.22
net303,5.22
_0384_,5.19
_0404_,5.19
_1062_,5.16
_1858_,5.16
_2032_,5.16
_0441_,5.15
_0269_,5.14
_0597_,5.14
_1402_,5.14
_2459_,5.14
_2608_,5.14
_3746_,5.14
_4053_,5.14
_4056_,5.14
_2531_,5.12
_1241_,5.11
_0605_,5.1
_0612_,5.1
_0724_,5.1
_2949_,5.1
_2994_,5.095
_0051_,5.065
_0020_,5.06
_2943_,5.06
bit_sum2\[5\],5.06
bit_sum6\[5\],5.06
net353,5.06
_0344_,5.04
_0487_,5.04
_2018_,5.04
_3455_,5.04
_4177_,5.04
net58,5.04
net61,5.04
net100,5.04
net114,5.04
net240,5.04
net297,5.04
net330,5.04
net355,5.04
_1133_,5.02
_1150_,5.02
_1861_,5.02
_2402_,5.02
_2693_,5.02
_3685_,5.02
_4182_,5.02
_4207_,5.02
s2\[10\],5.02
_0458_,5
_0409_,4.99
_0436_,4.99
_0626_,4.99
_0260_,4.97
_0062_,4.94
_0936_,4.94
_1279_,4.94
_2178_,4.94
_3532_,4.94
_3679_,4.94
net271,4.94
_0222_,4.93
_0029_,4.92
_0071_,4.92
_0124_,4.92
_0698_,4.92
_1177_,4.92
_1621_,4.92
_1918_,4.92
_2176_,4.92
_2449_,4.92
_2960_,4.92
_2980_,4.92
_3622_,4.92
bit_sum0\[5\],4.92
bit_sum2\[3\],4.92
bit_sum4\[4\],4.92
net110,4.92
net167,4.92
_4000_,4.91
_0357_,4.9
_3187_,4.9
net438,4.9
_3080_,4.885
_0004_,4.88
_0018_,4.88
_0659_,4.88
_0973_,4.88
_1771_,4.88
_2695_,4.88
_3686_,4.88
_3950_,4.88
bit_sum0\[0\],4.88
bit_sum1\[2\],4.88
final_sum\[9\],4.88
sum1\[1\],4.88
net318,4.88
_0073_,4.82
_1172_,4.82
_3997_,4.82
_4189_,4.82
_0361_,4.8
_0452_,4.8
_0829_,4.8
_0987_,4.8
_1618_,4.8
_1914_,4.8
_2205_,4.8
_2367_,4.8
_2408_,4.8
_2866_,4.8
_3267_,4.8
_3640_,4.8
carry3\[3\],4.8
_1891_,4.79
_2503_,4.78
net185,4.765
_0316_,4.76
_0473_,4.76
_1281_,4.76
_1702_,4.76
_1842_,4.76
_2023_,4.76
_2237_,4.76
_2920_,4.76
_3132_,4.76
_3558_,4.76
_3651_,4.76
_4118_,4.76
_0569_,4.75
_0298_,4.73
_1169_,4.73
_0705_,4.7
_0758_,4.7
_4106_,4.7
_0208_,4.68
_0601_,4.68
_1982_,4.68
_2193_,4.68
_3126_,4.68
carry5\[7\],4.68
_1681_,4.66
net385,4.66
_0464_,4.61
net55,4.6
net402,4.6
_1185_,4.59
_3026_,4.58
_3809_,4.58
net168,4.58
net403,4.58
_2508_,4.56
_2427_,4.555
_0176_,4.54
_0351_,4.54
_0293_,4.51
_1705_,4.48
_3972_,4.48
_0223_,4.46
_0395_,4.46
_0608_,4.46
_0907_,4.46
_0926_,4.46
_1957_,4.46
_2013_,4.46
_2775_,4.46
_3917_,4.46
bit_sum4\[3\],4.46
s4\[12\],4.46
sum4\[0\],4.46
sum4\[4\],4.46
net44,4.46
net117,4.46
_1338_,4.44
_2617_,4.44
_3806_,4.44
net13,4.44
_0057_,4.42
_0447_,4.42
_0470_,4.42
_2300_,4.42
_2327_,4.42
s0\[1\],4.42
sum4\[1\],4.42
net26,4.42
_0700_,4.36
_1160_,4.36
_1321_,4.36
_2033_,4.36
_2338_,4.36
_2704_,4.36
_2762_,4.36
_2941_,4.36
_0630_,4.34
_0632_,4.34
_0871_,4.34
_1256_,4.34
_1595_,4.34
_2314_,4.34
_3047_,4.34
_3195_,4.34
_3684_,4.34
_3927_,4.34
_4064_,4.34
_4202_,4.34
_4205_,4.34
net260,4.34
_0962_,4.32
_1619_,4.32
_3280_,4.32
_4184_,4.32
_0556_,4.27
_1774_,4.24
_2945_,4.24
_3621_,4.24
_0123_,4.22
_0492_,4.22
_1059_,4.22
_2451_,4.22
_2684_,4.18
_0232_,4.15
_0236_,4.15
_0167_,4.14
_0947_,4.14
_2681_,4.14
_3565_,4.14
sum4\[11\],4.14
net381,4.14
_0114_,4.12
_0198_,4.12
_0391_,4.12
_0640_,4.12
_2343_,4.12
_2439_,4.12
_2901_,4.12
net116,4.12
net276,4.12
net288,4.12
_0716_,4.115
_0397_,4.1
_1055_,4.1
_1297_,4.1
_1979_,4.1
_2760_,4.1
_3470_,4.1
_3721_,4.1
_2462_,4.09
_0277_,4.08
_0355_,4.08
_0406_,4.08
_0515_,4.08
net404,4.08
_0311_,4.05
_0413_,4.05
_0712_,4.02
_0715_,4.02
_1332_,4.02
_1944_,4.02
_2054_,4.02
_2465_,4.02
_2848_,4.02
_2925_,4.02
_3098_,4.02
_3200_,4.02
_3739_,4.02
_3983_,4.02
_4211_,4.02
net6,4.02
_0147_,4
_0708_,4
_1386_,4
_1977_,4
_2010_,4
_2127_,4
_2258_,4
_2360_,4
_2602_,4
_2746_,4
_3176_,4
_3324_,4
_3595_,4
_3830_,4
_3861_,4
bit_sum6\[3\],4
sum2\[1\],4
sum4\[3\],4
net95,4
net96,4
net103,4
net201,4
net272,4
net340,4
net382,4
net414,4
_0496_,3.98
_1769_,3.98
_3355_,3.98
_0800_,3.9
_0801_,3.9
_1530_,3.9
_2331_,3.9
_3501_,3.9
_4196_,3.9
_4190_,3.885
_0301_,3.88
_0781_,3.88
_1136_,3.88
_1628_,3.88
_2186_,3.88
_2268_,3.88
_2288_,3.88
_2476_,3.88
_2898_,3.88
_3496_,3.88
_3560_,3.88
_3718_,3.88
_4104_,3.88
net12,3.88
net14,3.88
net15,3.88
net17,3.88
net21,3.88
net43,3.88
net125,3.88
net315,3.88
_1765_,3.87
_0289_,3.81
_1489_,3.78
_2157_,3.78
_3022_,3.78
_3652_,3.78
_0199_,3.76
_0246_,3.76
_0295_,3.76
_0296_,3.76
_0307_,3.76
_0308_,3.76
_0313_,3.76
_0396_,3.76
_2075_,3.76
net195,3.76
net416,3.76
_2649_,3.74
_4093_,3.74
_0228_,3.69
_0527_,3.69
_0046_,3.68
_0095_,3.68
_2652_,3.68
_0088_,3.66
_0602_,3.66
_1598_,3.66
_2846_,3.66
_3300_,3.66
net108,3.66
net118,3.66
net136,3.66
net200,3.66
net383,3.66
_0219_,3.64
_0505_,3.61
_0625_,3.61
_0252_,3.59
_0268_,3.59
_0274_,3.59
_0376_,3.59
_0617_,3.59
_2727_,3.57
_0107_,3.56
_0171_,3.56
_0817_,3.56
_0913_,3.56
_1023_,3.56
_1135_,3.56
_2035_,3.56
_2819_,3.56
_3402_,3.56
_3667_,3.56
_0101_,3.54
_0170_,3.54
_0592_,3.54
_1217_,3.54
_1367_,3.54
_1483_,3.54
_1532_,3.54
_1691_,3.54
_2254_,3.54
_2944_,3.54
_3118_,3.54
_3342_,3.54
_3418_,3.54
_3489_,3.54
_3604_,3.54
_3807_,3.54
_3935_,3.54
_3991_,3.54
_4094_,3.54
bit_sum3\[2\],3.54
sum3\[3\],3.54
net49,3.54
net56,3.54
net161,3.54
net282,3.54
net285,3.54
net387,3.54
_0127_,3.52
_0613_,3.52
_1825_,3.51
_0442_,3.49
_1804_,3.44
_1931_,3.44
_1945_,3.44
_2316_,3.44
_2500_,3.44
_3043_,3.44
net245,3.44
_0227_,3.42
_0390_,3.42
_0415_,3.42
_0646_,3.42
_0696_,3.42
_0752_,3.42
_1040_,3.42
_1045_,3.42
_1205_,3.42
_1251_,3.42
_1423_,3.42
_1481_,3.42
_1585_,3.42
_1740_,3.42
_1928_,3.42
_2021_,3.42
_2606_,3.42
_2635_,3.42
_3007_,3.42
_3095_,3.42
_3110_,3.42
_3492_,3.42
_3867_,3.42
_3910_,3.42
_4181_,3.42
net332,3.42
_3189_,3.4
_0371_,3.37
_0545_,3.37
_0229_,3.35
_0489_,3.35
_0543_,3.35
_0920_,3.32
_1412_,3.32
_1631_,3.32
_2206_,3.32
_4193_,3.32
_0181_,3.3
_0265_,3.3
_0329_,3.3
_0501_,3.3
_0554_,3.3
_0604_,3.3
_0831_,3.3
_1265_,3.28
_0462_,3.25
_0764_,3.22
_1264_,3.22
bit_sum4\[2\],3.22
s4\[13\],3.22
sum5\[5\],3.22
net46,3.22
_0056_,3.2
_0072_,3.2
_0211_,3.2
_2480_,3.2
_2999_,3.2
_3166_,3.2
_4105_,3.2
net18,3.2
net20,3.2
net22,3.2
net157,3.2
net175,3.2
net183,3.2
net300,3.2
_2540_,3.18
_0196_,3.15
_0224_,3.13
_0342_,3.13
_0559_,3.13
_0058_,3.1
_0075_,3.1
_0120_,3.1
_0627_,3.1
_0753_,3.1
_1037_,3.1
_2099_,3.1
_2845_,3.1
_3284_,3.1
_4115_,3.1
sum5\[1\],3.1
net326,3.1
net435,3.1
_0021_,3.08
_0245_,3.08
_0249_,3.08
_0389_,3.08
_0519_,3.08
_0685_,3.08
_1306_,3.08
_1353_,3.08
_1913_,3.08
_2247_,3.08
_2336_,3.08
_2659_,3.08
_2864_,3.08
_3015_,3.08
_3632_,3.08
_4117_,3.08
_4197_,3.08
bit_sum5\[7\],3.08
s3\[11\],3.08
net54,3.08
net104,3.08
_1620_,3.06
_2646_,3.06
_0241_,3.03
_0318_,3.03
_0433_,3.03
_0643_,2.98
_1346_,2.98
_3086_,2.98
_3340_,2.98
_3759_,2.98
_0528_,2.96
_0683_,2.96
_0684_,2.96
_0743_,2.96
_0998_,2.96
_1399_,2.96
_1416_,2.96
_2067_,2.96
_2265_,2.96
_2751_,2.96
_3223_,2.96
_3237_,2.96
_3283_,2.96
_3673_,2.96
_3756_,2.96
net443,2.96
_0209_,2.89
_0212_,2.89
_0352_,2.89
_0393_,2.89
_0493_,2.89
_0590_,2.89
_0784_,2.86
