net,length_um
clknet_leaf_62_clk,46.84
_3745_,46.74
_0187_,46.72
_1732_,46.66
_3903_,46.62
net257,46.58
_3570_,46.53
_1725_,46.36
_2791_,46.32
_1646_,46.22
_3193_,46.1
led[0],46.03
sh5\[3\],45.98
_1798_,45.935
_3636_,45.93
_1004_,45.885
net322,45.88
_0145_,45.84
_0849_,45.82
_3339_,45.8
_1813_,45.72
_3403_,45.68
_1700_,45.66
_0799_,45.54
_1925_,45.38
_3799_,45.38
_2269_,45.3
_0134_,44.94
_3082_,44.9
_3238_,44.88
_2671_,44.875
_2627_,44.77
_2315_,44.74
net440,44.7
_1892_,44.54
_3367_,44.54
_3847_,44.54
_1735_,44.48
_2121_,44.36
_3055_,44.3
s1\[3\],44.18
net265,43.96
_4073_,43.94
_0783_,43.8
sh3\[3\],43.76
_1374_,43.68
_2213_,43.68
sh15\[0\],43.64
_3524_,43.54
_1476_,43.44
clknet_leaf_0_clk,43.44
_3159_,43.38
_2260_,43.33
_2615_,43.3
_1896_,43.16
_1731_,43.08
_1026_,43.02
_3958_,42.99
_3000_,42.965
_2927_,42.92
_3550_,42.9
_2597_,42.88
s2\[3\],42.86
_2252_,42.805
_3298_,42.78
rst,42.78
_3915_,42.7
_3347_,42.68
_0146_,42.66
_0944_,42.66
_1948_,42.63
_2103_,42.62
_2292_,42.56
_3069_,42.52
_2607_,42.42
_0731_,42.4
_3383_,42.4
_3487_,42.4
_3792_,42.36
_2796_,42.34
_2470_,42.335
net447,42.28
_0765_,42.26
_3603_,42.22
_2747_,42.16
_2967_,42.14
net165,42.12
_2668_,42.1
net182,41.92
_0754_,41.88
_3766_,41.86
clknet_leaf_50_clk,41.78
_3564_,41.76
_4018_,41.72
_2245_,41.68
_2094_,41.5
sh13\[0\],41.46
_3439_,41.4
_1615_,41.32
_3945_,41.16
_2469_,41.06
led[1],41.05
_0742_,41.04
_2403_,41.04
_3530_,41.04
_2977_,41.035
led[10],40.93
_2321_,40.92
_0756_,40.88
_2123_,40.8
_2437_,40.72
led[11],40.71
led[13],40.71
led[3],40.71
led[5],40.71
led[7],40.71
led[9],40.71
s3\[5\],40.7
_1888_,40.68
_3623_,40.62
_4099_,40.61
_1693_,40.6
_2586_,40.6
led[12],40.59
led[8],40.59
_4055_,40.52
carry3\[10\],40.5
s6\[10\],40.5
_3338_,40.44
net176,40.4
_1656_,40.16
_1069_,40.14
_1501_,40.14
_2001_,40.14
_1661_,40.06
_1389_,40
_0179_,39.9
_1989_,39.84
_2593_,39.78
_3287_,39.78
_2000_,39.72
_1746_,39.715
clknet_leaf_64_clk,39.64
_2666_,39.62
_1922_,39.6
_3687_,39.54
_3887_,39.54
sh5\[4\],39.52
_2759_,39.48
_2641_,39.4
_1484_,39.375
_1729_,39.2
_0960_,39.12
_2492_,39.08
_2913_,39
sh10\[6\],39
_3852_,38.94
led[14],38.89
led[2],38.89
led[4],38.89
led[6],38.89
sh6\[3\],38.89
_0832_,38.88
_3090_,38.86
_2978_,38.83
_2242_,38.8
_2086_,38.78
_0967_,38.62
_1285_,38.6
s7\[13\],38.58
_3898_,38.52
_1075_,38.46
_3100_,38.46
_1411_,38.42
_2618_,38.365
_1079_,38.36
_2444_,38.36
_2636_,38.35
_1783_,38.34
